home_team_name,home_team_name,away_team_name,home_team_goal,away_team_goal,league_name
KRC Genk, KRC Genk, Beerschot AC, 1, 1, Belgium Jupiler League
SV Zulte-Waregem, SV Zulte-Waregem, Sporting Lokeren, 0, 0, Belgium Jupiler League
KSV Cercle Brugge, KSV Cercle Brugge, RSC Anderlecht, 0, 3, Belgium Jupiler League
KAA Gent, KAA Gent, RAEC Mons, 5, 0, Belgium Jupiler League
FCV Dender EH, FCV Dender EH, Standard de Liège, 1, 3, Belgium Jupiler League
KV Mechelen, KV Mechelen, Club Brugge KV, 1, 1, Belgium Jupiler League
KSV Roeselare, KSV Roeselare, KV Kortrijk, 2, 2, Belgium Jupiler League
Tubize, Tubize, Royal Excel Mouscron, 1, 2, Belgium Jupiler League
KVC Westerlo, KVC Westerlo, Sporting Charleroi, 1, 0, Belgium Jupiler League
Club Brugge KV, Club Brugge KV, KV Kortrijk, 4, 1, Belgium Jupiler League
Standard de Liège, Standard de Liège, Sporting Charleroi, 1, 2, Belgium Jupiler League
SV Zulte-Waregem, SV Zulte-Waregem, KAA Gent, 0, 2, Belgium Jupiler League
Sporting Lokeren, Sporting Lokeren, RAEC Mons, 0, 0, Belgium Jupiler League
FCV Dender EH, FCV Dender EH, KVC Westerlo, 2, 2, Belgium Jupiler League
KV Mechelen, KV Mechelen, KSV Roeselare, 1, 2, Belgium Jupiler League
Royal Excel Mouscron, Royal Excel Mouscron, KSV Cercle Brugge, 0, 1, Belgium Jupiler League
Tubize, Tubize, KRC Genk, 1, 3, Belgium Jupiler League
Beerschot AC, Beerschot AC, RSC Anderlecht, 1, 3, Belgium Jupiler League
RSC Anderlecht, RSC Anderlecht, Sporting Lokeren, 2, 3, Belgium Jupiler League
RAEC Mons, RAEC Mons, Royal Excel Mouscron, 0, 0, Belgium Jupiler League
Sporting Charleroi, Sporting Charleroi, Club Brugge KV, 2, 2, Belgium Jupiler League
KSV Cercle Brugge, KSV Cercle Brugge, SV Zulte-Waregem, 2, 0, Belgium Jupiler League
KAA Gent, KAA Gent, FCV Dender EH, 1, 1, Belgium Jupiler League
KSV Roeselare, KSV Roeselare, Tubize, 1, 2, Belgium Jupiler League
KV Kortrijk, KV Kortrijk, KV Mechelen, 0, 0, Belgium Jupiler League
KVC Westerlo, KVC Westerlo, KRC Genk, 1, 0, Belgium Jupiler League
Beerschot AC, Beerschot AC, Standard de Liège, 1, 3, Belgium Jupiler League
Club Brugge KV, Club Brugge KV, RSC Anderlecht, 1, 1, Belgium Jupiler League
KRC Genk, KRC Genk, KSV Roeselare, 1, 1, Belgium Jupiler League
SV Zulte-Waregem, SV Zulte-Waregem, Beerschot AC, 2, 2, Belgium Jupiler League
Sporting Lokeren, Sporting Lokeren, Standard de Liège, 1, 1, Belgium Jupiler League
FCV Dender EH, FCV Dender EH, KV Kortrijk, 1, 0, Belgium Jupiler League
KV Mechelen, KV Mechelen, RAEC Mons, 0, 0, Belgium Jupiler League
Royal Excel Mouscron, Royal Excel Mouscron, Sporting Charleroi, 2, 1, Belgium Jupiler League
Tubize, Tubize, KSV Cercle Brugge, 3, 0, Belgium Jupiler League
KVC Westerlo, KVC Westerlo, KAA Gent, 3, 2, Belgium Jupiler League
RSC Anderlecht, RSC Anderlecht, KVC Westerlo, 2, 0, Belgium Jupiler League
Standard de Liège, Standard de Liège, Royal Excel Mouscron, 3, 1, Belgium Jupiler League
RAEC Mons, RAEC Mons, Club Brugge KV, 1, 2, Belgium Jupiler League
Sporting Charleroi, Sporting Charleroi, Tubize, 3, 2, Belgium Jupiler League
KSV Cercle Brugge, KSV Cercle Brugge, KV Mechelen, 2, 1, Belgium Jupiler League
KAA Gent, KAA Gent, KRC Genk, 2, 3, Belgium Jupiler League
KSV Roeselare, KSV Roeselare, FCV Dender EH, 2, 2, Belgium Jupiler League
